South Dakota, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,28.5,13.5
199101,14.2,-0.8
199201,27.4,12.4
199301,13.0,-2.0
199401,9.8,-5.2
199501,19.2,4.2
199601,10.3,-4.7
199701,10.6,-4.4
199801,19.3,4.3
199901,17.6,2.6
200001,21.1,6.1
200101,22.7,7.7
200201,24.1,9.1
200301,19.8,4.8
200401,16.1,1.1
200501,16.8,1.8
200601,32.2,17.2
200701,20.1,5.1
200801,16.2,1.2
200901,16.7,1.7
201001,14.8,-0.2
201101,13.0,-2.0
201201,25.4,10.4
201301,19.4,4.4
