South Dakota, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,25.1,5.2
199102,30.9,11.0
199202,31.3,11.4
199302,13.7,-6.2
199402,12.2,-7.7
199502,26.0,6.1
199602,23.1,3.2
199702,22.8,2.9
199802,32.7,12.8
199902,32.9,13.0
200002,30.1,10.2
200102,12.4,-7.5
200202,29.6,9.7
200302,18.8,-1.1
200402,22.9,3.0
200502,29.3,9.4
200602,23.3,3.4
200702,15.2,-4.7
200802,19.1,-0.8
200902,23.4,3.5
201002,14.6,-5.3
201102,16.3,-3.6
201202,25.7,5.8
201302,23.8,3.9
