South Dakota, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,45.0,0.3
199104,47.4,2.7
199204,44.3,-0.4
199304,43.2,-1.5
199404,45.1,0.4
199504,39.1,-5.6
199604,42.4,-2.3
199704,39.5,-5.2
199804,46.9,2.2
199904,44.7,0.0
200004,45.0,0.3
200104,46.1,1.4
200204,44.5,-0.2
200304,47.9,3.2
200404,47.9,3.2
200504,48.2,3.5
200604,50.2,5.5
200704,42.9,-1.8
200804,42.1,-2.6
200904,42.3,-2.4
201004,49.3,4.6
201104,43.1,-1.6
201204,50.2,5.5
201304,36.9,-7.8
