South Dakota, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,54.2,-1.8
199105,58.1,2.1
199205,59.0,3.0
199305,56.1,0.1
199405,60.3,4.3
199505,52.5,-3.5
199605,52.2,-3.8
199705,53.1,-2.9
199805,59.3,3.3
199905,55.9,-0.1
200005,58.1,2.1
200105,57.8,1.8
200205,52.4,-3.6
200305,55.0,-1.0
200405,55.6,-0.4
200505,54.0,-2.0
200605,58.2,2.2
200705,60.0,4.0
200805,53.0,-3.0
200905,55.8,-0.2
201005,54.2,-1.8
201105,53.0,-3.0
201205,58.3,2.3
201305,55.9,-0.1
