South Dakota, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,65.0,4.8
199109,60.8,0.6
199209,59.8,-0.4
199309,55.0,-5.2
199409,62.5,2.3
199509,59.5,-0.7
199609,58.8,-1.4
199709,63.1,2.9
199809,66.9,6.7
199909,57.1,-3.1
200009,62.3,2.1
200109,62.1,1.9
200209,62.7,2.5
200309,60.0,-0.2
200409,63.1,2.9
200509,65.5,5.3
200609,56.8,-3.4
200709,62.6,2.4
200809,60.3,0.1
200909,63.0,2.8
201009,59.1,-1.1
201109,59.9,-0.3
201209,62.6,2.4
201309,65.8,5.6
