Tennessee, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,57.7,-1.1
199110,59.5,0.7
199210,56.6,-2.2
199310,56.8,-2.0
199410,58.9,0.1
199510,58.4,-0.4
199610,58.5,-0.3
199710,57.7,-1.1
199810,61.6,2.8
199910,58.4,-0.4
200010,61.1,2.3
200110,56.5,-2.3
200210,60.9,2.1
200310,58.5,-0.3
200410,62.8,4.0
200510,59.3,0.5
200610,56.1,-2.7
200710,63.2,4.4
200810,57.9,-0.9
200910,56.2,-2.6
201010,59.2,0.4
201110,56.8,-2.0
201210,56.7,-2.1
201310,59.5,0.7
