Tennessee, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,51.7,4.3
199111,45.4,-2.0
199211,47.8,0.4
199311,46.1,-1.3
199411,52.8,5.4
199511,42.8,-4.6
199611,44.5,-2.9
199711,43.9,-3.5
199811,50.7,3.3
199911,52.8,5.4
200011,46.9,-0.5
200111,53.0,5.6
200211,45.3,-2.1
200311,52.8,5.4
200411,53.0,5.6
200511,50.4,3.0
200611,48.4,1.0
200711,48.2,0.8
200811,45.2,-2.2
200911,50.5,3.1
201011,49.8,2.4
201111,51.0,3.6
201211,45.8,-1.6
201311,44.8,-2.6
