Tennessee, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,71.4,1.2
199109,70.2,0.0
199209,68.6,-1.6
199309,68.3,-1.9
199409,66.9,-3.3
199509,68.2,-2.0
199609,67.5,-2.7
199709,69.5,-0.7
199809,74.4,4.2
199909,69.3,-0.9
200009,69.6,-0.6
200109,67.6,-2.6
200209,73.3,3.1
200309,68.1,-2.1
200409,69.6,-0.6
200509,72.6,2.4
200609,67.2,-3.0
200709,73.0,2.8
200809,71.2,1.0
200909,70.6,0.4
201009,71.6,1.4
201109,68.1,-2.1
201209,69.1,-1.1
201309,70.7,0.5
