Texas, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,64.5,-1.6
199110,67.1,1.0
199210,67.4,1.3
199310,64.4,-1.7
199410,66.8,0.7
199510,66.3,0.2
199610,65.8,-0.3
199710,66.0,-0.1
199810,68.5,2.4
199910,65.8,-0.3
200010,67.2,1.1
200110,65.4,-0.7
200210,64.9,-1.2
200310,67.4,1.3
200410,69.7,3.6
200510,66.4,0.3
200610,66.8,0.7
200710,68.6,2.5
200810,65.4,-0.7
200910,64.2,-1.9
201010,67.2,1.1
201110,66.9,0.8
201210,65.9,-0.2
201310,66.7,0.6
