Texas, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,58.3,3.7
199111,50.9,-3.7
199211,51.8,-2.8
199311,51.0,-3.6
199411,58.0,3.4
199511,55.9,1.3
199611,55.9,1.3
199711,52.5,-2.1
199811,58.5,3.9
199911,59.6,5.0
200011,51.1,-3.5
200111,58.9,4.3
200211,53.0,-1.6
200311,58.0,3.4
200411,55.7,1.1
200511,58.7,4.1
200611,57.9,3.3
200711,57.6,3.0
200811,56.8,2.2
200911,57.3,2.7
201011,56.6,2.0
201111,56.9,2.3
201211,59.0,4.4
201311,52.9,-1.7
