Texas, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,53.3,3.9
199102,52.5,3.1
199202,53.0,3.6
199302,49.3,-0.1
199402,49.1,-0.3
199502,53.2,3.8
199602,52.9,3.5
199702,49.0,-0.4
199802,51.1,1.7
199902,56.6,7.2
200002,57.0,7.6
200102,51.9,2.5
200202,47.1,-2.3
200302,48.3,-1.1
200402,47.4,-2.0
200502,51.9,2.5
200602,50.2,0.8
200702,49.4,0.0
200802,53.2,3.8
200902,55.5,6.1
201002,44.0,-5.4
201102,48.7,-0.7
201202,51.8,2.4
201302,51.7,2.3
