Texas, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,83.6,4.0
199106,79.4,-0.2
199206,77.9,-1.7
199306,79.0,-0.6
199406,82.1,2.5
199506,77.4,-2.2
199606,81.1,1.5
199706,77.6,-2.0
199806,83.9,4.3
199906,79.2,-0.4
200006,78.6,-1.0
200106,80.9,1.3
200206,80.6,1.0
200306,78.5,-1.1
200406,78.7,-0.9
200506,80.5,0.9
200606,80.8,1.2
200706,77.9,-1.7
200806,82.9,3.3
200906,81.7,2.1
201006,82.7,3.1
201106,85.2,5.6
201206,82.4,2.8
201306,81.8,2.2
