Utah, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,36.9,0.9
199111,35.3,-0.7
199211,31.9,-4.1
199311,32.1,-3.9
199411,30.6,-5.4
199511,41.9,5.9
199611,37.6,1.6
199711,37.3,1.3
199811,38.0,2.0
199911,42.4,6.4
200011,29.8,-6.2
200111,39.3,3.3
200211,35.9,-0.1
200311,34.1,-1.9
200411,35.7,-0.3
200511,39.0,3.0
200611,38.2,2.2
200711,40.6,4.6
200811,40.9,4.9
200911,39.0,3.0
201011,34.8,-1.2
201111,36.0,0.0
201211,41.2,5.2
201311,38.0,2.0
