Utah, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,67.1,3.1
199106,63.5,-0.5
199206,64.4,0.4
199306,61.4,-2.6
199406,69.4,5.4
199506,59.9,-4.1
199606,67.9,3.9
199706,65.2,1.2
199806,60.0,-4.0
199906,64.0,0.0
200006,67.3,3.3
200106,67.1,3.1
200206,68.7,4.7
200306,66.0,2.0
200406,66.1,2.1
200506,61.8,-2.2
200606,68.8,4.8
200706,68.2,4.2
200806,65.0,1.0
200906,62.0,-2.0
201006,65.4,1.4
201106,63.3,-0.7
201206,68.7,4.7
201306,69.2,5.2
