Utah, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,72.7,1.2
199107,72.3,0.8
199207,69.3,-2.2
199307,67.9,-3.6
199407,74.1,2.6
199507,69.9,-1.6
199607,74.2,2.7
199707,69.8,-1.7
199807,73.6,2.1
199907,71.7,0.2
200007,74.0,2.5
200107,72.9,1.4
200207,76.2,4.7
200307,77.2,5.7
200407,72.2,0.7
200507,74.8,3.3
200607,75.0,3.5
200707,76.2,4.7
200807,74.1,2.6
200907,73.2,1.7
201007,73.1,1.6
201107,71.8,0.3
201207,73.2,1.7
201307,74.6,3.1
