Vermont, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,26.2,10.9
199101,15.7,0.4
199201,16.4,1.1
199301,19.6,4.3
199401,5.4,-9.9
199501,24.1,8.8
199601,15.1,-0.2
199701,15.9,0.6
199801,21.7,6.4
199901,17.0,1.7
200001,15.0,-0.3
200101,17.8,2.5
200201,25.2,9.9
200301,9.5,-5.8
200401,7.2,-8.1
200501,13.9,-1.4
200601,26.0,10.7
200701,19.5,4.2
200801,21.5,6.2
200901,10.9,-4.4
201001,20.1,4.8
201101,15.7,0.4
201201,21.4,6.1
201301,18.6,3.3
