Vermont, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,42.3,2.4
199104,45.0,5.1
199204,38.3,-1.6
199304,41.8,1.9
199404,40.9,1.0
199504,36.4,-3.5
199604,39.8,-0.1
199704,37.9,-2.0
199804,43.2,3.3
199904,41.3,1.4
200004,39.8,-0.1
200104,39.9,0.0
200204,43.4,3.5
200304,38.1,-1.8
200404,41.4,1.5
200504,43.4,3.5
200604,43.0,3.1
200704,38.7,-1.2
200804,44.8,4.9
200904,43.3,3.4
201004,46.2,6.3
201104,41.7,1.8
201204,42.7,2.8
201304,40.8,0.9
