Vermont, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,49.6,-2.6
199105,56.1,3.9
199205,52.5,0.3
199305,52.9,0.7
199405,50.7,-1.5
199505,51.2,-1.0
199605,50.2,-2.0
199705,47.6,-4.6
199805,58.1,5.9
199905,55.5,3.3
200005,52.9,0.7
200105,54.8,2.6
200205,49.4,-2.8
200305,51.9,-0.3
200405,54.9,2.7
200505,48.7,-3.5
200605,54.2,2.0
200705,53.3,1.1
200805,50.0,-2.2
200905,52.5,0.3
201005,56.0,3.8
201105,56.2,4.0
201205,57.5,5.3
201305,55.1,2.9
