Vermont, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,61.8,0.8
199106,62.1,1.1
199206,59.8,-1.2
199306,60.0,-1.0
199406,64.0,3.0
199506,63.4,2.4
199606,62.6,1.6
199706,62.5,1.5
199806,61.8,0.8
199906,65.4,4.4
200006,60.4,-0.6
200106,63.2,2.2
200206,60.6,-0.4
200306,61.7,0.7
200406,59.4,-1.6
200506,66.5,5.5
200606,62.9,1.9
200706,62.9,1.9
200806,63.7,2.7
200906,60.3,-0.7
201006,61.8,0.8
201106,62.0,1.0
201206,62.2,1.2
201306,62.0,1.0
