Vermont, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,55.7,-0.3
199109,53.8,-2.2
199209,56.2,0.2
199309,55.3,-0.7
199409,55.0,-1.0
199509,53.1,-2.9
199609,58.1,2.1
199709,55.3,-0.7
199809,57.8,1.8
199909,60.6,4.6
200009,55.5,-0.5
200109,57.4,1.4
200209,60.4,4.4
200309,58.4,2.4
200409,58.3,2.3
200509,60.6,4.6
200609,56.4,0.4
200709,58.8,2.8
200809,58.5,2.5
200909,55.8,-0.2
201009,59.2,3.2
201109,60.8,4.8
201209,57.2,1.2
201309,56.5,0.5
