Virginia, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,49.3,3.8
199111,45.3,-0.2
199211,46.6,1.1
199311,46.3,0.8
199411,50.4,4.9
199511,41.9,-3.6
199611,41.0,-4.5
199711,43.3,-2.2
199811,47.4,1.9
199911,51.4,5.9
200011,43.6,-1.9
200111,51.2,5.7
200211,44.8,-0.7
200311,51.5,6.0
200411,49.5,4.0
200511,48.7,3.2
200611,48.7,3.2
200711,46.2,0.7
200811,44.1,-1.4
200911,49.5,4.0
201011,46.3,0.8
201111,49.4,3.9
201211,42.7,-2.8
201311,43.7,-1.8
