Virginia, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,42.7,5.9
199112,41.1,4.3
199212,37.4,0.6
199312,35.4,-1.4
199412,42.2,5.4
199512,33.7,-3.1
199612,40.3,3.5
199712,38.0,1.2
199812,42.6,5.8
199912,39.7,2.9
200012,30.1,-6.7
200112,43.4,6.6
200212,36.0,-0.8
200312,36.8,0.0
200412,38.2,1.4
200512,35.1,-1.7
200612,43.1,6.3
200712,41.5,4.7
200812,40.2,3.4
200912,35.7,-1.1
201012,30.1,-6.7
201112,42.5,5.7
201212,42.9,6.1
201312,40.3,3.5
