Virginia, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,44.4,7.7
199102,41.0,4.3
199202,40.4,3.7
199302,34.8,-1.9
199402,37.5,0.8
199502,34.9,-1.8
199602,36.1,-0.6
199702,41.6,4.9
199802,41.5,4.8
199902,40.0,3.3
200002,41.5,4.8
200102,41.2,4.5
200202,40.5,3.8
200302,34.8,-1.9
200402,36.3,-0.4
200502,39.4,2.7
200602,37.4,0.7
200702,31.9,-4.8
200802,40.3,3.6
200902,38.9,2.2
201002,31.9,-4.8
201102,40.9,4.2
201202,41.8,5.1
201302,36.8,0.1
