Virginia, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,66.4,-0.7
199109,67.4,0.3
199209,66.8,-0.3
199309,68.4,1.3
199409,65.1,-2.0
199509,66.1,-1.0
199609,66.2,-0.9
199709,66.4,-0.7
199809,71.6,4.5
199909,66.0,-1.1
200009,65.7,-1.4
200109,64.8,-2.3
200209,69.4,2.3
200309,66.7,-0.4
200409,67.8,0.7
200509,70.4,3.3
200609,64.8,-2.3
200709,69.4,2.3
200809,68.2,1.1
200909,66.6,-0.5
201009,70.0,2.9
201109,68.2,1.1
201209,66.9,-0.2
201309,66.3,-0.8
