Washington, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,67.1,3.1
199107,64.7,0.7
199207,64.3,0.3
199307,58.8,-5.2
199407,67.3,3.3
199507,64.7,0.7
199607,66.6,2.6
199707,63.2,-0.8
199807,69.0,5.0
199907,62.0,-2.0
200007,63.5,-0.5
200107,63.4,-0.6
200207,66.1,2.1
200307,67.5,3.5
200407,67.3,3.3
200507,65.0,1.0
200607,67.5,3.5
200707,68.1,4.1
200807,64.4,0.4
200907,67.5,3.5
201007,64.2,0.2
201107,61.0,-3.0
201207,65.2,1.2
201307,67.2,3.2
