West Virginia, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,40.6,7.9
199102,36.3,3.6
199202,37.2,4.5
199302,30.9,-1.8
199402,33.9,1.2
199502,30.0,-2.7
199602,31.9,-0.8
199702,38.4,5.7
199802,39.0,6.3
199902,36.3,3.6
200002,39.0,6.3
200102,38.0,5.3
200202,36.7,4.0
200302,30.5,-2.2
200402,32.8,0.1
200502,36.0,3.3
200602,33.0,0.3
200702,24.2,-8.5
200802,34.6,1.9
200902,34.0,1.3
201002,27.2,-5.5
201102,36.8,4.1
201202,37.7,5.0
201302,32.3,-0.4
