Wisconsin, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,17.7,-0.4
199112,20.8,2.7
199212,20.7,2.6
199312,21.6,3.5
199412,25.3,7.2
199512,16.2,-1.9
199612,17.9,-0.2
199712,26.2,8.1
199812,25.4,7.3
199912,22.7,4.6
200012,8.6,-9.5
200112,27.5,9.4
200212,24.2,6.1
200312,24.8,6.7
200412,20.4,2.3
200512,18.3,0.2
200612,27.2,9.1
200712,17.1,-1.0
200812,12.7,-5.4
200912,18.2,0.1
201012,16.9,-1.2
201112,25.7,7.6
201212,25.1,7.0
201312,11.9,-6.2
