Wyoming, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,32.0,2.9
199103,31.8,2.7
199203,36.7,7.6
199303,32.0,2.9
199403,34.4,5.3
199503,31.3,2.2
199603,27.9,-1.2
199703,32.9,3.8
199803,28.4,-0.7
199903,34.4,5.3
200003,33.4,4.3
200103,32.5,3.4
200203,24.8,-4.3
200303,32.0,2.9
200403,36.5,7.4
200503,32.5,3.4
200603,30.2,1.1
200703,37.6,8.5
200803,28.4,-0.7
200903,30.8,1.7
201003,34.2,5.1
201103,32.0,2.9
201203,39.4,10.3
201303,31.3,2.2
