Wyoming, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,59.3,5.7
199109,54.5,0.9
199209,54.5,0.9
199309,51.5,-2.1
199409,57.0,3.4
199509,54.1,0.5
199609,52.3,-1.3
199709,56.4,2.8
199809,59.9,6.3
199909,51.0,-2.6
200009,54.1,0.5
200109,58.1,4.5
200209,55.2,1.6
200309,52.9,-0.7
200409,54.2,0.6
200509,55.6,2.0
200609,51.9,-1.7
200709,55.6,2.0
200809,52.8,-0.8
200909,57.4,3.8
201009,56.3,2.7
201109,56.4,2.8
201209,57.5,3.9
201309,57.3,3.7
