Colorado, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,36.6,3.1
199111,30.5,-3.0
199211,28.4,-5.1
199311,29.2,-4.3
199411,32.1,-1.4
199511,38.0,4.5
199611,34.6,1.1
199711,32.2,-1.3
199811,37.6,4.1
199911,41.2,7.7
200011,27.2,-6.3
200111,37.9,4.4
200211,33.7,0.2
200311,33.0,-0.5
200411,33.8,0.3
200511,37.5,4.0
200611,36.5,3.0
200711,38.0,4.5
200811,38.3,4.8
200911,37.8,4.3
201011,33.6,0.1
201111,34.9,1.4
201211,39.4,5.9
201311,35.2,1.7
