Connecticut, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,34.3,8.9
199101,26.7,1.3
199201,28.3,2.9
199301,29.3,3.9
199401,18.7,-6.7
199501,32.3,6.9
199601,25.2,-0.2
199701,26.9,1.5
199801,33.1,7.7
199901,27.4,2.0
200001,24.6,-0.8
200101,25.8,0.4
200201,33.3,7.9
200301,21.4,-4.0
200401,18.7,-6.7
200501,24.3,-1.1
200601,33.7,8.3
200701,31.3,5.9
200801,29.7,4.3
200901,21.0,-4.4
201001,27.0,1.6
201101,23.2,-2.2
201201,31.7,6.3
201301,28.8,3.4
