Connecticut, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,38.6,3.2
199103,39.4,4.0
199203,33.6,-1.8
199303,33.1,-2.3
199403,35.2,-0.2
199503,39.3,3.9
199603,33.4,-2.0
199703,35.8,0.4
199803,39.3,3.9
199903,37.4,2.0
200003,41.9,6.5
200103,34.1,-1.3
200203,38.6,3.2
200303,36.0,0.6
200403,38.0,2.6
200503,32.3,-3.1
200603,36.7,1.3
200703,35.1,-0.3
200803,36.5,1.1
200903,36.8,1.4
201003,43.0,7.6
201103,37.0,1.6
201203,45.8,10.4
201303,36.0,0.6
