Delaware, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,41.4,8.1
199101,35.8,2.5
199201,36.0,2.7
199301,38.1,4.8
199401,28.0,-5.3
199501,38.2,4.9
199601,32.6,-0.7
199701,34.1,0.8
199801,41.5,8.2
199901,38.0,4.7
200001,33.3,0.0
200101,33.1,-0.2
200201,40.0,6.7
200301,29.6,-3.7
200401,28.8,-4.5
200501,34.3,1.0
200601,42.1,8.8
200701,40.1,6.8
200801,36.7,3.4
200901,30.7,-2.6
201001,33.3,0.0
201101,30.3,-3.0
201201,39.3,6.0
201301,37.4,4.1
