Delaware, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,60.8,4.4
199110,57.4,1.0
199210,53.6,-2.8
199310,55.8,-0.6
199410,54.8,-1.6
199510,59.8,3.4
199610,56.7,0.3
199710,57.0,0.6
199810,57.5,1.1
199910,55.8,-0.6
200010,57.6,1.2
200110,57.6,1.2
200210,57.9,1.5
200310,55.8,-0.6
200410,56.2,-0.2
200510,58.8,2.4
200610,56.2,-0.2
200710,64.1,7.7
200810,56.2,-0.2
200910,56.6,0.2
201010,58.6,2.2
201110,57.2,0.8
201210,59.3,2.9
201310,59.5,3.1
