Delaware, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,42.7,6.5
199112,40.8,4.6
199212,38.5,2.3
199312,36.0,-0.2
199412,42.0,5.8
199512,32.9,-3.3
199612,41.3,5.1
199712,38.9,2.7
199812,42.0,5.8
199912,40.5,4.3
200012,31.3,-4.9
200112,44.4,8.2
200212,36.0,-0.2
200312,37.8,1.6
200412,39.0,2.8
200512,35.6,-0.6
200612,43.9,7.7
200712,39.1,2.9
200812,40.7,4.5
200912,37.1,0.9
201012,31.7,-4.5
201112,43.4,7.2
201212,44.1,7.9
201312,40.4,4.2
