Florida, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,65.9,6.5
199102,61.6,2.2
199202,61.6,2.2
199302,58.1,-1.3
199402,63.8,4.4
199502,58.9,-0.5
199602,58.8,-0.6
199702,64.1,4.7
199802,60.0,0.6
199902,61.9,2.5
200002,60.5,1.1
200102,65.2,5.8
200202,59.5,0.1
200302,61.2,1.8
200402,59.3,-0.1
200502,60.8,1.4
200602,58.3,-1.1
200702,58.1,-1.3
200802,63.0,3.6
200902,57.3,-2.1
201002,52.6,-6.8
201102,61.8,2.4
201202,64.3,4.9
201302,61.8,2.4
