Georgia, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,65.8,1.6
199110,64.6,0.4
199210,61.9,-2.3
199310,64.0,-0.2
199410,63.6,-0.6
199510,65.5,1.3
199610,63.1,-1.1
199710,64.1,-0.1
199810,66.8,2.6
199910,64.4,0.2
200010,63.7,-0.5
200110,61.7,-2.5
200210,68.2,4.0
200310,64.4,0.2
200410,67.7,3.5
200510,65.8,1.6
200610,62.5,-1.7
200710,67.8,3.6
200810,62.4,-1.8
200910,64.1,-0.1
201010,64.8,0.6
201110,61.6,-2.6
201210,64.7,0.5
201310,65.0,0.8
