Georgia, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,57.0,2.8
199111,52.2,-2.0
199211,54.8,0.6
199311,53.8,-0.4
199411,59.0,4.8
199511,50.9,-3.3
199611,52.8,-1.4
199711,51.4,-2.8
199811,59.6,5.4
199911,57.7,3.5
200011,53.6,-0.6
200111,59.9,5.7
200211,52.3,-1.9
200311,59.4,5.2
200411,57.9,3.7
200511,57.0,2.8
200611,54.2,0.0
200711,54.0,-0.2
200811,51.4,-2.8
200911,55.6,1.4
201011,54.8,0.6
201111,56.2,2.0
201211,52.6,-1.6
201311,53.2,-1.0
