Georgia, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,51.6,4.5
199112,51.0,3.9
199212,47.3,0.2
199312,45.7,-1.4
199412,50.5,3.4
199512,45.3,-1.8
199612,49.2,2.1
199712,47.2,0.1
199812,53.0,5.9
199912,47.9,0.8
200012,40.6,-6.5
200112,52.9,5.8
200212,45.7,-1.4
200312,44.3,-2.8
200412,46.8,-0.3
200512,44.8,-2.3
200612,51.9,4.8
200712,52.9,5.8
200812,51.7,4.6
200912,46.2,-0.9
201012,39.9,-7.2
201112,51.3,4.2
201212,52.1,5.0
201312,51.2,4.1
