Georgia, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,80.5,1.5
199108,78.4,-0.6
199208,77.0,-2.0
199308,80.1,1.1
199408,77.0,-2.0
199508,80.6,1.6
199608,77.7,-1.3
199708,77.5,-1.5
199808,79.5,0.5
199908,82.1,3.1
200008,79.5,0.5
200108,79.3,0.3
200208,79.6,0.6
200308,79.2,0.2
200408,77.6,-1.4
200508,80.3,1.3
200608,81.6,2.6
200708,83.2,4.2
200808,78.9,-0.1
200908,78.8,-0.2
201008,82.2,3.2
201108,82.2,3.2
201208,78.1,-0.9
201308,78.0,-1.0
