Alabama, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,58.1,3.0
199103,56.9,1.8
199203,54.9,-0.2
199303,51.7,-3.4
199403,55.8,0.7
199503,58.2,3.1
199603,50.9,-4.2
199703,61.2,6.1
199803,53.4,-1.7
199903,52.8,-2.3
200003,58.9,3.8
200103,51.4,-3.7
200203,55.0,-0.1
200303,57.6,2.5
200403,59.0,3.9
200503,53.5,-1.6
200603,56.1,1.0
200703,60.0,4.9
200803,55.2,0.1
200903,57.3,2.2
201003,51.2,-3.9
201103,57.8,2.7
201203,64.6,9.5
201303,49.8,-5.3
