Illinois, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,67.9,1.7
199109,66.4,0.2
199209,64.3,-1.9
199309,61.6,-4.6
199409,65.3,-0.9
199509,63.3,-2.9
199609,64.2,-2.0
199709,66.3,0.1
199809,70.9,4.7
199909,65.2,-1.0
200009,66.3,0.1
200109,64.4,-1.8
200209,69.3,3.1
200309,64.1,-2.1
200409,67.7,1.5
200509,70.7,4.5
200609,63.7,-2.5
200709,69.8,3.6
200809,67.1,0.9
200909,65.9,-0.3
201009,67.2,1.0
201109,63.6,-2.6
201209,64.9,-1.3
201309,68.6,2.4
