Indiana, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,33.5,3.2
199112,34.4,4.1
199212,32.0,1.7
199312,31.3,1.0
199412,37.0,6.7
199512,27.3,-3.0
199612,33.0,2.7
199712,33.0,2.7
199812,36.4,6.1
199912,33.0,2.7
200012,19.2,-11.1
200112,36.9,6.6
200212,31.7,1.4
200312,33.5,3.2
200412,30.8,0.5
200512,26.7,-3.6
200612,37.3,7.0
200712,32.6,2.3
200812,29.1,-1.2
200912,30.4,0.1
201012,24.3,-6.0
201112,36.6,6.3
201212,38.2,7.9
201312,29.4,-0.9
