Indiana, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,70.3,-0.2
199106,73.9,3.4
199206,66.6,-3.9
199306,69.4,-1.1
199406,72.8,2.3
199506,71.6,1.1
199606,70.8,0.3
199706,69.2,-1.3
199806,71.1,0.6
199906,72.0,1.5
200006,70.4,-0.1
200106,69.1,-1.4
200206,72.9,2.4
200306,67.1,-3.4
200406,69.5,-1.0
200506,73.4,2.9
200606,69.8,-0.7
200706,72.1,1.6
200806,72.2,1.7
200906,71.6,1.1
201006,74.1,3.6
201106,72.2,1.7
201206,71.6,1.1
201306,70.8,0.3
