Iowa, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,48.1,0.0
199104,51.4,3.3
199204,46.0,-2.1
199304,45.0,-3.1
199404,49.2,1.1
199504,44.8,-3.3
199604,45.7,-2.4
199704,44.3,-3.8
199804,49.7,1.6
199904,50.0,1.9
200004,49.4,1.3
200104,52.7,4.6
200204,48.9,0.8
200304,50.4,2.3
200404,51.1,3.0
200504,53.4,5.3
200604,53.8,5.7
200704,46.7,-1.4
200804,46.0,-2.1
200904,47.0,-1.1
201004,55.2,7.1
201104,47.6,-0.5
201204,52.4,4.3
201304,43.8,-4.3
