Iowa, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,70.3,1.2
199106,73.0,3.9
199206,67.4,-1.7
199306,66.9,-2.2
199406,70.9,1.8
199506,69.9,0.8
199606,69.5,0.4
199706,70.4,1.3
199806,67.1,-2.0
199906,68.9,-0.2
200006,67.7,-1.4
200106,68.3,-0.8
200206,72.4,3.3
200306,67.3,-1.8
200406,67.0,-2.1
200506,72.6,3.5
200606,70.0,0.9
200706,70.4,1.3
200806,69.3,0.2
200906,68.9,-0.2
201006,70.8,1.7
201106,69.6,0.5
201206,71.4,2.3
201306,68.9,-0.2
