Kansas, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,77.7,-1.2
199107,80.1,1.2
199207,75.5,-3.4
199307,77.6,-1.3
199407,75.8,-3.1
199507,78.1,-0.8
199607,76.8,-2.1
199707,78.2,-0.7
199807,79.6,0.7
199907,80.4,1.5
200007,79.0,0.1
200107,83.0,4.1
200207,80.7,1.8
200307,81.8,2.9
200407,75.2,-3.7
200507,78.7,-0.2
200607,81.1,2.2
200707,78.0,-0.9
200807,78.6,-0.3
200907,75.6,-3.3
201007,79.6,0.7
201107,84.9,6.0
201207,84.4,5.5
201307,77.2,-1.7
