Kentucky, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,41.6,8.0
199101,34.3,0.7
199201,35.6,2.0
199301,37.7,4.1
199401,27.0,-6.6
199501,35.0,1.4
199601,32.4,-1.2
199701,32.5,-1.1
199801,40.8,7.2
199901,37.5,3.9
200001,33.8,0.2
200101,31.8,-1.8
200201,37.9,4.3
200301,28.4,-5.2
200401,32.5,-1.1
200501,39.0,5.4
200601,43.1,9.5
200701,38.0,4.4
200801,33.3,-0.3
200901,30.2,-3.4
201001,29.8,-3.8
201101,30.2,-3.4
201201,38.7,5.1
201301,36.7,3.1
