Kentucky, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,62.0,-2.4
199105,70.0,5.6
199205,61.9,-2.5
199305,64.3,-0.1
199405,60.0,-4.4
199505,63.6,-0.8
199605,66.5,2.1
199705,59.0,-5.4
199805,67.9,3.5
199905,64.9,0.5
200005,67.0,2.6
200105,66.2,1.8
200205,62.1,-2.3
200305,64.2,-0.2
200405,69.2,4.8
200505,61.7,-2.7
200605,62.6,-1.8
200705,67.8,3.4
200805,61.8,-2.6
200905,64.8,0.4
201005,67.3,2.9
201105,64.2,-0.2
201205,69.4,5.0
201305,64.9,0.5
