Louisiana, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,65.3,-2.2
199110,69.0,1.5
199210,66.9,-0.6
199310,66.5,-1.0
199410,67.7,0.2
199510,67.0,-0.5
199610,67.0,-0.5
199710,67.1,-0.4
199810,70.0,2.5
199910,66.7,-0.8
200010,67.5,0.0
200110,64.4,-3.1
200210,69.4,1.9
200310,67.8,0.3
200410,73.9,6.4
200510,67.2,-0.3
200610,68.0,0.5
200710,69.1,1.6
200810,65.9,-1.6
200910,66.7,-0.8
201010,68.3,0.8
201110,65.5,-2.0
201210,65.8,-1.7
201310,68.6,1.1
