Louisiana, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,82.0,0.4
199108,80.6,-1.0
199208,78.2,-3.4
199308,83.6,2.0
199408,79.9,-1.7
199508,83.8,2.2
199608,80.1,-1.5
199708,81.2,-0.4
199808,83.8,2.2
199908,84.8,3.2
200008,84.3,2.7
200108,81.4,-0.2
200208,81.6,0.0
200308,82.5,0.9
200408,79.6,-2.0
200508,83.5,1.9
200608,83.7,2.1
200708,84.1,2.5
200808,81.1,-0.5
200908,81.2,-0.4
201008,85.0,3.4
201108,86.7,5.1
201208,82.0,0.4
201308,82.0,0.4
