Maryland, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,73.1,-0.2
199108,75.7,2.4
199208,70.7,-2.6
199308,75.3,2.0
199408,71.6,-1.7
199508,76.4,3.1
199608,72.6,-0.7
199708,72.7,-0.6
199808,75.1,1.8
199908,75.0,1.7
200008,72.6,-0.7
200108,76.0,2.7
200208,77.2,3.9
200308,76.1,2.8
200408,73.5,0.2
200508,77.0,3.7
200608,76.9,3.6
200708,76.3,3.0
200808,72.6,-0.7
200908,76.2,2.9
201008,76.4,3.1
201108,75.1,1.8
201208,75.8,2.5
201308,72.4,-0.9
