Massachusetts, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,32.6,8.5
199101,24.9,0.8
199201,26.4,2.3
199301,27.7,3.6
199401,17.1,-7.0
199501,31.6,7.5
199601,24.6,0.5
199701,25.4,1.3
199801,31.1,7.0
199901,26.0,1.9
200001,23.5,-0.6
200101,24.6,0.5
200201,32.4,8.3
200301,19.0,-5.1
200401,17.3,-6.8
200501,23.0,-1.1
200601,32.9,8.8
200701,29.9,5.8
200801,28.2,4.1
200901,19.8,-4.3
201001,25.9,1.8
201101,22.4,-1.7
201201,30.5,6.4
201301,27.5,3.4
