Arizona, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,64.9,-0.1
199105,63.2,-1.8
199205,66.7,1.7
199305,67.3,2.3
199405,65.2,0.2
199505,61.7,-3.3
199605,69.6,4.6
199705,70.5,5.5
199805,63.0,-2.0
199905,65.3,0.3
200005,71.2,6.2
200105,70.8,5.8
200205,67.0,2.0
200305,68.3,3.3
200405,68.4,3.4
200505,67.9,2.9
200605,70.0,5.0
200705,68.4,3.4
200805,63.6,-1.4
200905,70.8,5.8
201005,63.1,-1.9
201105,63.2,-1.8
201205,69.3,4.3
201305,67.4,2.4
