Michigan, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,33.3,4.3
199103,33.4,4.4
199203,29.0,0.0
199303,29.0,0.0
199403,30.5,1.5
199503,33.3,4.3
199603,25.0,-4.0
199703,29.6,0.6
199803,32.8,3.8
199903,30.4,1.4
200003,38.8,9.8
200103,29.4,0.4
200203,27.4,-1.6
200303,29.3,0.3
200403,34.5,5.5
200503,27.3,-1.7
200603,32.4,3.4
200703,34.8,5.8
200803,27.0,-2.0
200903,31.6,2.6
201003,37.6,8.6
201103,28.8,-0.2
201203,44.7,15.7
201303,27.8,-1.2
