Minnesota, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,65.4,1.7
199106,68.0,4.3
199206,61.3,-2.4
199306,60.7,-3.0
199406,65.8,2.1
199506,68.4,4.7
199606,65.3,1.6
199706,67.0,3.3
199806,62.1,-1.6
199906,64.4,0.7
200006,61.5,-2.2
200106,65.1,1.4
200206,67.0,3.3
200306,63.6,-0.1
200406,60.7,-3.0
200506,67.4,3.7
200606,65.7,2.0
200706,67.2,3.5
200806,62.9,-0.8
200906,62.3,-1.4
201006,63.8,0.1
201106,63.4,-0.3
201206,66.8,3.1
201306,63.9,0.2
