Missouri, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,71.1,2.9
199109,67.6,-0.6
199209,65.9,-2.3
199309,63.3,-4.9
199409,65.8,-2.4
199509,64.8,-3.4
199609,64.8,-3.4
199709,68.4,0.2
199809,73.4,5.2
199909,66.5,-1.7
200009,69.0,0.8
200109,66.3,-1.9
200209,70.8,2.6
200309,64.8,-3.4
200409,68.5,0.3
200509,72.0,3.8
200609,64.9,-3.3
200709,70.5,2.3
200809,67.2,-1.0
200909,66.6,-1.6
201009,68.8,0.6
201109,64.8,-3.4
201209,67.0,-1.2
201309,70.7,2.5
