Montana, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,58.9,0.6
199106,58.2,-0.1
199206,60.9,2.6
199306,55.8,-2.5
199406,59.3,1.0
199506,57.9,-0.4
199606,60.5,2.2
199706,60.6,2.3
199806,54.4,-3.9
199906,57.0,-1.3
200006,58.0,-0.3
200106,58.4,0.1
200206,59.5,1.2
200306,58.4,0.1
200406,56.1,-2.2
200506,57.7,-0.6
200606,61.6,3.3
200706,60.7,2.4
200806,56.7,-1.6
200906,56.6,-1.7
201006,57.5,-0.8
201106,56.3,-2.0
201206,60.2,1.9
201306,59.0,0.7
