Nebraska, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,40.2,4.3
199111,30.5,-5.4
199211,32.3,-3.6
199311,31.8,-4.1
199411,37.6,1.7
199511,36.0,0.1
199611,30.0,-5.9
199711,34.6,-1.3
199811,40.6,4.7
199911,45.0,9.1
200011,28.2,-7.7
200111,43.9,8.0
200211,37.1,1.2
200311,34.7,-1.2
200411,38.7,2.8
200511,41.1,5.2
200611,37.6,1.7
200711,39.5,3.6
200811,38.9,3.0
200911,42.2,6.3
201011,36.7,0.8
201111,38.2,2.3
201211,40.0,4.1
201311,36.0,0.1
