Nebraska, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,71.0,2.7
199106,71.6,3.3
199206,65.2,-3.1
199306,65.3,-3.0
199406,71.1,2.8
199506,66.6,-1.7
199606,69.5,1.2
199706,69.4,1.1
199806,65.0,-3.3
199906,66.9,-1.4
200006,67.6,-0.7
200106,68.5,0.2
200206,73.9,5.6
200306,66.1,-2.2
200406,65.2,-3.1
200506,70.0,1.7
200606,71.8,3.5
200706,69.2,0.9
200806,67.5,-0.8
200906,66.8,-1.5
201006,69.6,1.3
201106,68.2,-0.1
201206,73.4,5.1
201306,68.8,0.5
