Nebraska, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,72.7,0.4
199108,73.1,0.8
199208,66.9,-5.4
199308,70.7,-1.6
199408,71.8,-0.5
199508,76.1,3.8
199608,70.6,-1.7
199708,71.1,-1.2
199808,73.4,1.1
199908,71.8,-0.5
200008,76.4,4.1
200108,73.9,1.6
200208,73.0,0.7
200308,75.5,3.2
200408,68.5,-3.8
200508,72.6,0.3
200608,72.9,0.6
200708,75.6,3.3
200808,71.4,-0.9
200908,69.4,-2.9
201008,74.8,2.5
201108,73.9,1.6
201208,73.0,0.7
201308,73.8,1.5
