Nevada, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,51.7,5.1
199104,44.0,-2.6
199204,52.9,6.3
199304,47.0,0.4
199404,48.6,2.0
199504,44.7,-1.9
199604,48.4,1.8
199704,45.4,-1.2
199804,43.9,-2.7
199904,42.5,-4.1
200004,51.5,4.9
200104,45.7,-0.9
200204,49.5,2.9
200304,44.2,-2.4
200404,49.4,2.8
200504,45.8,-0.8
200604,47.7,1.1
200704,49.2,2.6
200804,45.2,-1.4
200904,46.1,-0.5
201004,44.2,-2.4
201104,44.4,-2.2
201204,49.9,3.3
201304,48.4,1.8
