New Jersey, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,46.6,3.5
199111,44.9,1.8
199211,43.9,0.8
199311,43.9,0.8
199411,48.6,5.5
199511,40.5,-2.6
199611,39.8,-3.3
199711,42.1,-1.0
199811,44.7,1.6
199911,48.6,5.5
200011,43.0,-0.1
200111,48.8,5.7
200211,43.2,0.1
200311,48.5,5.4
200411,46.4,3.3
200511,47.4,4.3
200611,49.6,6.5
200711,43.5,0.4
200811,43.7,0.6
200911,49.2,6.1
201011,45.0,1.9
201111,48.9,5.8
201211,41.5,-1.6
201311,42.9,-0.2
