New Jersey, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,58.5,-1.3
199105,65.9,6.1
199205,57.7,-2.1
199305,61.9,2.1
199405,58.3,-1.5
199505,59.0,-0.8
199605,58.3,-1.5
199705,57.1,-2.7
199805,63.3,3.5
199905,60.5,0.7
200005,62.0,2.2
200105,61.6,1.8
200205,59.2,-0.6
200305,56.9,-2.9
200405,66.0,6.2
200505,56.6,-3.2
200605,61.4,1.6
200705,62.8,3.0
200805,57.9,-1.9
200905,61.3,1.5
201005,64.0,4.2
201105,63.7,3.9
201205,65.1,5.3
201305,60.9,1.1
